orderID:,unixTimestamp,Event,Time,Weather,Temp,Median Income,Median Age,Male Ratio,buyerID,buyerGpsCordinates_North,buyerGpsCordinates_west,sellerId,sellerGpsCordinates_North,sellerGpsCordinates_west,orderQty,buyerRating:,skuID,ProductName,mrp,salePrice,costPrice,,productCategory,length(cm),width(cm),height(cm)
61d85b17fc13ae680c000d67,01-12-2021,Holiday,11, hot,2,54638,30,46,11328,27.58,113.9,1001,44.45,93.35,5,3,DiaperID,Diaper,100,83,74,,kids,2,12,5
61d85b17fc13ae680c000d68,09-11-2021,Normal,9,cold,11,89927,27,48,13069,30.8,79.39,1153,29.26,115.45,3,5,DiaperID,Diaper,100,98,61,,kids,2,12,5
61d85b17fc13ae680c000d69,26-11-2021,Festival,16, hot,0,50260,30,51,19654,42.18,90.1,1034,40.18,118.9,2,5,DiaperID,Diaper,100,96,68,,kids,2,12,5
61d85b17fc13ae680c000d6a,01-12-2021,Holiday,13,cold,12,83366,28,48,10337,39.57,117.47,1152,31.89,99.3,5,5,DiaperID,Diaper,100,92,68,,kids,2,12,5
61d85b17fc13ae680c000d6b,18-11-2021,Normal,21, hot,10,60176,25,48,11552,31.62,119.56,1150,30.28,74.07,1,5,DiaperID,Diaper,100,89,67,,kids,2,12,5
61d85b17fc13ae680c000d6c,17-11-2021,Festival,20, hot,7,93458,27,51,19600,27.48,122.01,1136,34.84,81.91,4,3,DiaperID,Diaper,100,98,65,,kids,2,12,5
61d85b17fc13ae680c000d6d,06-11-2021,Holiday,20, hot,2,85083,26,47,17710,39,104.99,1008,30.85,96.02,2,5,DiaperID,Diaper,100,95,75,,kids,2,12,5
61d85b17fc13ae680c000d6e,24-11-2021,Normal,9, hot,5,64728,25,46,19141,30.82,85.1,1026,45.49,85.57,2,5,DiaperID,Diaper,100,86,78,,kids,2,12,5
61d85b17fc13ae680c000d6f,04-11-2021,Festival,13, hot,2,77702,29,50,19901,41.45,72.97,1199,36.01,90.78,1,3,DiaperID,Diaper,100,82,78,,kids,2,12,5
61d85b17fc13ae680c000d70,14-11-2021,Holiday,18, hot,6,62484,25,50,18337,41.64,108.17,1067,26.88,95.9,3,3,DiaperID,Diaper,100,96,68,,kids,2,12,5
61d85b17fc13ae680c000d71,13-11-2021,Normal,4, hot,10,58682,25,51,10179,32.61,104.3,1194,40.44,84.71,2,3,DiaperID,Diaper,100,85,60,,kids,2,12,5
61d85b17fc13ae680c000d72,03-11-2021,Festival,13, hot,6,86280,25,47,15748,34.88,73.71,1109,44.66,109.97,3,1,DiaperID,Diaper,100,99,70,,kids,2,12,5
61d85b17fc13ae680c000d73,23-11-2021,Holiday,7, hot,2,74093,25,47,17827,35.61,75.35,1103,35.19,98.4,5,5,DiaperID,Diaper,100,89,68,,kids,2,12,5
61d85b17fc13ae680c000d74,17-11-2021,Normal,13, hot,0,66025,30,46,14091,39.8,102.63,1024,37.93,77.14,1,2,DiaperID,Diaper,100,89,76,,kids,2,12,5
61d85b17fc13ae680c000d75,02-11-2021,Festival,11, hot,0,57088,28,48,18639,36.79,113.22,1068,43.15,106.59,4,2,DiaperID,Diaper,100,96,74,,kids,2,12,5
61d85b17fc13ae680c000d76,13-11-2021,Holiday,15, hot,0,58000,28,46,13809,42.79,99.2,1040,35.12,105.89,4,4,DiaperID,Diaper,100,95,73,,kids,2,12,5
61d85b17fc13ae680c000d77,27-11-2021,Normal,2, hot,7,93243,27,49,10568,40.45,96.61,1167,30.13,113.15,4,2,DiaperID,Diaper,100,98,62,,kids,2,12,5
61d85b17fc13ae680c000d78,22-11-2021,Festival,19, hot,2,71359,25,48,15367,43.2,97.61,1033,33.95,72.68,3,4,DiaperID,Diaper,100,83,66,,kids,2,12,5
61d85b17fc13ae680c000d79,08-11-2021,Holiday,0, hot,1,82453,30,46,18450,35.09,82.66,1128,38.11,82.69,4,1,DiaperID,Diaper,100,92,60,,kids,2,12,5
61d85b17fc13ae680c000d7a,29-11-2021,Normal,23, hot,6,53553,28,51,19571,31.46,121.16,1002,30.91,104.15,5,2,DiaperID,Diaper,100,82,74,,kids,2,12,5
61d85b17fc13ae680c000d7b,23-11-2021,Festival,5, hot,8,50802,30,47,17153,38.98,82.61,1152,40.2,90.82,1,5,DiaperID,Diaper,100,88,64,,kids,2,12,5
61d85b17fc13ae680c000d7c,16-11-2021,Holiday,5, hot,9,51105,28,50,14966,44.33,119.39,1080,35.16,99.02,3,5,DiaperID,Diaper,100,97,74,,kids,2,12,5
61d85b17fc13ae680c000d7d,19-11-2021,Normal,9, hot,2,96080,30,48,13454,43.22,98.5,1066,45.67,101.95,5,1,DiaperID,Diaper,100,84,78,,kids,2,12,5
