orderID:,unixTimestamp,Event,Time,Weather ,Temp,Median Income,Median Age,Male Ratio,buyerID,buyerGpsCordinates_North,buyerGpsCordinates_west,sellerId,sellerGpsCordinates_North,sellerGpsCordinates_west,orderQty,buyerRating:,skuID,ProductName,mrp,salePrice,costPrice,,productCategory,length(cm),width(cm),height(cm)
61d85b17fc13ae680c000d67,01-12-2021,Holiday,10,Cold,7,77959,26,46,11328,27.58,113.9,1001,44.45,93.35,5,3,DiaperID,Diaper,100,83,74,,kids,2,12,5
61d85b17fc13ae680c000d68,09-11-2021,Normal,11,Cold,3,91788,25,50,13069,30.8,79.39,1153,29.26,115.45,3,5,DiaperID,Diaper,100,98,61,,kids,2,12,5
61d85b17fc13ae680c000d69,26-11-2021,Festival,8,Cold,8,79031,26,47,19654,42.18,90.1,1034,40.18,118.9,2,5,DiaperID,Diaper,100,96,68,,kids,2,12,5
61d85b17fc13ae680c000d6a,01-12-2021,Holiday,14,Hot,12,62321,29,46,10337,39.57,117.47,1152,31.89,99.3,5,5,DiaperID,Diaper,100,92,68,,kids,2,12,5
61d85b17fc13ae680c000d6b,18-11-2021,Normal,1,Cold,1,71546,26,46,11552,31.62,119.56,1150,30.28,74.07,1,5,DiaperID,Diaper,100,89,67,,kids,2,12,5
61d85b17fc13ae680c000d6c,17-11-2021,Festival,0,Cold,2,72425,30,51,19600,27.48,122.01,1136,34.84,81.91,4,3,DiaperID,Diaper,100,98,65,,kids,2,12,5
61d85b17fc13ae680c000d6d,06-11-2021,Holiday,7,Cold,4,88171,30,47,17710,39,104.99,1008,30.85,96.02,2,5,DiaperID,Diaper,100,95,75,,kids,2,12,5
61d85b17fc13ae680c000d6e,24-11-2021,Normal,0,Hot,11,67924,29,46,19141,30.82,85.1,1026,45.49,85.57,2,5,DiaperID,Diaper,100,86,78,,kids,2,12,5
61d85b17fc13ae680c000d6f,04-11-2021,Festival,3,Cold,1,96763,27,48,19901,41.45,72.97,1199,36.01,90.78,1,3,DiaperID,Diaper,100,82,78,,kids,2,12,5
61d85b17fc13ae680c000d70,14-11-2021,Holiday,9,Cold,3,84772,25,50,18337,41.64,108.17,1067,26.88,95.9,3,3,DiaperID,Diaper,100,96,68,,kids,2,12,5
61d85b17fc13ae680c000d71,13-11-2021,Normal,24,Hot,12,60604,29,46,10179,32.61,104.3,1194,40.44,84.71,2,3,DiaperID,Diaper,100,85,60,,kids,2,12,5
61d85b17fc13ae680c000d72,03-11-2021,Festival,6,Cold,8,84859,28,50,15748,34.88,73.71,1109,44.66,109.97,3,1,DiaperID,Diaper,100,99,70,,kids,2,12,5
61d85b17fc13ae680c000d73,23-11-2021,Holiday,11,Cold,7,66538,26,48,17827,35.61,75.35,1103,35.19,98.4,5,5,DiaperID,Diaper,100,89,68,,kids,2,12,5
61d85b17fc13ae680c000d74,17-11-2021,Normal,19,Hot,12,70420,27,46,14091,39.8,102.63,1024,37.93,77.14,1,2,DiaperID,Diaper,100,89,76,,kids,2,12,5
61d85b17fc13ae680c000d75,02-11-2021,Festival,10,Cold,3,67588,30,48,18639,36.79,113.22,1068,43.15,106.59,4,2,DiaperID,Diaper,100,96,74,,kids,2,12,5
